Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),Wildfire_Probability,AcresBurned,County,Latitude,Longitude,Stn Id,Precip (in),precip30 (in),precip60 (in),precip90 (in),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),
Alameda,7/4/2013,37.7393,-121.5869,2013-07-04T10:00:00Z,,50,Alameda,37.663969,-121.88503,191,0,0,0,0.18,100.6,66.9,83,65,21,38,
Tehama,7/4/2013,40.012398,-122.079871,2013-07-04T07:30:00Z,,200,Tehama,40.044053,-122.16551,8,0,0.5,1.16,1.26,104.1,72.8,91,44,14,29,
San Diego,7/6/2013,32.95435,-116.47381,2013-07-06T12:55:00Z,,7055,San Diego,33.268447,-116.36505,207,0,0,0,0,103.6,76.8,91.8,53,14,28,
Alameda,7/6/2013,37.74241,-121.86216,2013-07-06T13:09:00Z,,38,Alameda,37.663969,-121.88503,191,0,0,0,0.18,84.7,54.6,66.7,86,32,58,
San Luis Obispo,7/7/2013,35.62743,-120.83417,2013-07-07T13:16:00Z,,85,San Luis Obispo,35.472556,-120.64814,163,0,0,0.44,1.08,88.4,45.8,64.8,96,18,53,
El Dorado,7/8/2013,38.774,-120.298,2013-07-08T12:45:00Z,,572,El Dorado,38.753136,-120.7336,13,0,0,0,0.35,88.7,65,77.1,44,18,29,
Yuba,7/8/2013,39.206,-121.31634,2013-07-08T09:59:00Z,,73,Yuba,39.252561,-121.31567,84,0,0.6,0.64,0.96,93.6,64.5,79,65,20,40,
Shasta,7/9/2013,40.373,-122.7338,2013-07-09T11:59:00Z,,43,Shasta,40.63,-122.31,224,0,2.25,3.22,3.28,97.7,53.1,77.2,86,10,35,
Santa Clara,7/12/2013,37.1438,-121.7804,2013-07-12T13:09:00Z,,50,Santa Clara,37.015026,-121.53704,211,0,0.08,0.08,0.08,81.8,51.3,62.6,100,37,70,
Stanislaus,7/12/2013,37.436,-121.1955,2013-07-12T15:35:00Z,,150,Stanislaus,37.438944,-121.13851,161,0,0.02,0.36,0.38,87.2,53.4,70.8,88,27,53,
Riverside,7/15/2013,33.7095,-116.72885,2013-07-15T13:43:00Z,,27531,Riverside,33.841292,-116.47873,118,0,0,0,0,104.3,81.5,94,35,16,23,
Riverside,7/17/2013,33.990128,-117.164997,2013-07-17T13:23:00Z,,150,Riverside,33.9,-117.17,238,0.01,0.49,0.65,1.63,95.4,57.1,77.4,60,9,24,
Riverside,7/19/2013,33.94528,-117.09306,2013-07-19T17:31:00Z,,15,Riverside,33.9,-117.17,238,0,0.51,0.66,1.65,97.6,62.9,78.1,70,17,42,
Riverside,7/19/2013,33.9634,-117.2508,2013-07-19T16:21:00Z,,40,Riverside,33.964942,-117.33698,44,0,0.03,0.03,0.28,92,62.7,75.6,74,24,48,
