Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),CountyIds (might not need this one),Wildfire_Probability,AcresBurned,,,,Extinguished,,,,,,,
Placer,8/10/2013,39.12,-120.65,2013-08-10T16:30:00Z,31,,27440,,,,2013-08-30T08:00:00Z,,,,2013-08-10,2013,8,10
San Bernardino,8/24/2013,33.642,-116.706,2013-08-24T15:09:00Z,36,,97,,,,2013-08-30T08:00:00Z,,,,2013-08-24,2013,8,24
Siskiyou,7/31/2013,41.32,-123.176,2013-07-31T22:00:00Z,47,,14754,,,,2013-08-31T06:45:00Z,,,,2013-07-31,2013,7,31
Nevada,8/31/2013,39.333401,-121.107022,2013-08-31T14:42:00Z,29,,52,,,,2013-08-31T21:30:00Z,,,,2013-08-31,2013,8,31
Butte,8/31/2013,39.731878,-121.713938,2013-08-31T17:23:00Z,4,,80,,,,2013-09-01T18:00:00Z,,,,2013-08-31,2013,8,31
Modoc,9/7/2013,41.569,-120.959,2013-09-07T17:30:00Z,25,,68,,,,2013-09-05T21:00:00Z,,,,2013-09-07,2013,9,7
Tuolumne,8/17/2013,37.857,-120.086,2013-08-17T15:25:00Z,55,,257314,,,,2013-09-06T18:30:00Z,,,,2013-08-17,2013,8,17
San Mateo,9/7/2013,37.667295,-122.427285,2013-09-07T13:55:00Z,41,,41,,,,2013-09-07T20:00:00Z,,,,2013-09-07,2013,9,7
San Diego,9/11/2013,32.710918,-116.746023,2013-09-11T16:57:00Z,37,,263,,,,2013-09-12T08:45:00Z,,,,2013-09-11,2013,9,11
San Bernardino,9/9/2013,34.003151,-117.106075,2013-09-09T13:09:00Z,36,,73,,,,2013-09-12T18:15:00Z,,,,2013-09-09,2013,9,9
Contra Costa,9/8/2013,37.90757,-121.882582,2013-09-08T13:08:00Z,7,,3111,,,,2013-09-14T17:30:00Z,,,,2013-09-08,2013,9,8
Shasta,9/9/2013,40.498332,-122.535496,2013-09-09T12:32:00Z,45,,8073,,,,2013-09-15T07:30:00Z,,,,2013-09-09,2013,9,9
Tehama,9/15/2013,0,0,2013-09-15T19:45:00Z,52,,75,,,,2013-09-15T17:14:00Z,,,,2013-09-15,2013,9,15
Lake,9/15/2013,38.9777,-122.683,2013-09-15T17:39:00Z,17,,30,,,,2013-09-15T19:00:00Z,,,,2013-09-15,2013,9,15
Fresno,9/24/2013,37.279,-119.318,2013-09-24T03:20:00Z,10,,22992,,,,2013-09-24T17:30:00Z,,,,2013-09-24,2013,9,24
Tulare,7/22/2013,36.208,-118.444,2013-07-22T22:15:00Z,54,,2060,,,,2013-09-24T20:15:00Z,,,,2013-07-22,2013,7,22
Tulare,8/24/2013,36.258,-118.459,2013-08-24T14:31:00Z,54,,134,,,,2013-09-24T20:15:00Z,,,,2013-08-24,2013,8,24
