Counties (Location),FormattedDate,Latitude,Longitude,Extinguished (Date),CountyIds (might not need this one),Wildfire_Probability,AcresBurned,,,,Extinguished,,Started
Shasta,8/14/2013,40.473356,-122.48259,2013-08-14T20:35:00Z,45,,27,,,,2013-08-14T20:35:00Z,,2013-08-14T15:37:00Z
Siskiyou,8/15/2013,41.923323,-122.578393,2013-08-15T17:00:00Z,47,,50,,,,2013-08-15T17:00:00Z,,2013-08-15T14:40:00Z
El Dorado,8/16/2013,38.682378,-120.839075,2013-08-16T17:55:00Z,9,,116,,,,2013-08-16T17:55:00Z,,2013-08-16T13:55:00Z
Riverside,8/16/2013,33.570291,-116.10815,2013-08-16T21:00:00Z,33,,40,,,,2013-08-16T21:00:00Z,,2013-08-16T13:31:00Z
San Bernardino,8/18/2013,34.287,-117.451,2013-08-18T20:55:00Z,36,,110,,,,2013-08-18T18:30:00Z,,2013-08-16T17:57:00Z
Lake,8/18/2013,39.013682,-122.491894,2013-08-18T18:30:00Z,17,,70,,,,2013-08-18T20:55:00Z,,2013-08-17T17:25:00Z
Calaveras,8/19/2013,38.06231,-120.45233,2013-08-19T07:10:00Z,5,,46,,,,2013-08-19T07:10:00Z,,2013-08-17T10:11:00Z
San Bernardino,8/20/2013,34.302,-117.598,2013-08-20T13:32:00Z,36,,413,,,,2013-08-20T13:32:00Z,,2013-08-20T13:32:00Z
Butte,8/22/2013,39.446268,-121.38236,2013-08-22T18:00:00Z,4,,2462,,,,2013-08-22T18:00:00Z,,2013-08-16T16:37:00Z
Shasta,8/23/2013,40.5445,-121.3754,2013-08-23T19:15:00Z,45,,196,,,,2013-08-23T19:15:00Z,,2013-08-19T17:48:00Z
Kern,8/24/2013,35.707,-118.588,2013-08-24T13:45:00Z,15,,794,,,,2013-08-24T11:45:00Z,,2013-08-24T14:54:00Z
El Dorado,8/24/2013,38.89555,-120.84716,2013-08-24T11:45:00Z,9,,38,,,,2013-08-24T13:45:00Z,,2013-08-18T23:12:00Z
Plumas,8/25/2013,40.00842,-120.764666,2013-08-25T13:15:00Z,32,,513,,,,2013-08-25T13:15:00Z,,2013-08-18T18:30:00Z
Tehama,8/29/2013,40.04263,-121.85397,2013-08-29T16:45:00Z,52,,11429,,,,2013-08-29T16:45:00Z,,2013-08-23T14:15:00Z
Placer,8/30/2013,39.12,-120.65,2013-08-30T08:00:00Z,31,,27440,,,,2013-08-30T08:00:00Z,,2013-08-10T16:30:00Z
San Bernardino,8/30/2013,33.642,-116.706,2013-08-30T08:00:00Z,36,,97,,,,2013-08-30T08:00:00Z,,2013-08-24T15:09:00Z
Siskiyou,8/31/2013,41.32,-123.176,2013-08-31T06:45:00Z,47,,14754,,,,2013-08-31T06:45:00Z,,2013-07-31T22:00:00Z
Nevada,8/31/2013,39.333401,-121.107022,2013-08-31T21:30:00Z,29,,52,,,,2013-08-31T21:30:00Z,,2013-08-31T14:42:00Z
Butte,9/1/2013,39.731878,-121.713938,2013-09-01T18:00:00Z,4,,80,,,,2013-09-01T18:00:00Z,,2013-08-31T17:23:00Z
Modoc,9/5/2013,41.569,-120.959,2013-09-05T21:00:00Z,25,,68,,,,2013-09-05T21:00:00Z,,2013-09-07T17:30:00Z
Tuolumne,9/6/2013,37.857,-120.086,2013-09-06T18:30:00Z,55,,257314,,,,2013-09-06T18:30:00Z,,2013-08-17T15:25:00Z
San Mateo,9/7/2013,37.667295,-122.427285,2013-09-07T20:00:00Z,41,,41,,,,2013-09-07T20:00:00Z,,2013-09-07T13:55:00Z
San Diego,9/12/2013,32.710918,-116.746023,2013-09-12T18:15:00Z,37,,263,,,,2013-09-12T08:45:00Z,,2013-09-11T16:57:00Z
San Bernardino,9/12/2013,34.003151,-117.106075,2013-09-12T08:45:00Z,36,,73,,,,2013-09-12T18:15:00Z,,2013-09-09T13:09:00Z
Contra Costa,9/14/2013,37.90757,-121.882582,2013-09-14T17:30:00Z,7,,3111,,,,2013-09-14T17:30:00Z,,2013-09-08T13:08:00Z
Shasta,9/15/2013,40.498332,-122.535496,2013-09-15T07:30:00Z,45,,8073,,,,2013-09-15T07:30:00Z,,2013-09-09T12:32:00Z
Tehama,9/15/2013,0,0,2013-09-15T19:00:00Z,52,,75,,,,2013-09-15T17:14:00Z,,2013-09-15T19:45:00Z
Lake,9/15/2013,38.9777,-122.683,2013-09-15T17:14:00Z,17,,30,,,,2013-09-15T19:00:00Z,,2013-09-15T17:39:00Z
Fresno,9/24/2013,37.279,-119.318,2013-09-24T20:15:00Z,10,,22992,,,,2013-09-24T17:30:00Z,,2013-09-24T03:20:00Z
Tulare,9/24/2013,36.208,-118.444,2013-09-24T20:15:00Z,54,,2060,,,,2013-09-24T20:15:00Z,,2013-07-22T22:15:00Z
Tulare,9/24/2013,36.258,-118.459,2013-09-24T20:15:00Z,54,,134,,,,2013-09-24T20:15:00Z,,2013-08-24T14:31:00Z
Modoc,9/24/2013,41.73325,-120.375,2013-09-24T20:15:00Z,25,,97,,,,2013-09-24T20:15:00Z,,2013-09-08T11:53:00Z
San Luis Obispo,9/24/2013,35.4393,-120.8358,2013-09-24T17:30:00Z,40,,94,,,,2013-09-24T20:15:00Z,,2013-09-05T15:57:00Z
Los Angeles,9/28/2013,34.149,-117.908,2013-09-28T08:00:00Z,19,,268,,,,2013-09-28T08:00:00Z,,2013-09-23T18:00:00Z
San Diego,9/28/2013,0,0,2013-09-28T09:15:00Z,37,,40,,,,2013-09-28T09:15:00Z,,2013-09-26T17:29:00Z
Mendocino,9/29/2013,38.9252,-122.966,2013-09-29T18:15:00Z,23,,98,,,,2013-09-29T18:15:00Z,,2013-09-28T13:57:00Z
San Bernardino,9/30/2013,34.2,-117.417,2013-09-30T08:30:00Z,36,,200,,,,2013-09-30T08:30:00Z,,2013-09-24T15:51:00Z
Napa,10/4/2013,38.628,-122.289,2013-10-04T16:55:00Z,28,,376,,,,2013-10-04T10:30:00Z,,2013-10-04T07:35:00Z
Alameda,10/4/2013,0,0,2013-10-04T10:30:00Z,1,,150,,,,2013-10-04T16:55:00Z,,2013-10-03T20:33:00Z
Butte,10/5/2013,39.439,-121.497,2013-10-05T22:00:00Z,4,,305,,,,2013-10-05T07:45:00Z,,2013-10-04T12:25:00Z
Sonoma,10/5/2013,38.34599,-122.6503,2013-10-05T07:45:00Z,49,,159,,,,2013-10-05T22:00:00Z,,2013-10-04T17:37:00Z
San Diego,10/9/2013,33.341,-117.3092,2013-10-09T19:00:00Z,37,,2236,,,,2013-10-09T08:00:00Z,,2013-10-06T10:52:00Z
Orange,10/9/2013,33.7655,-117.6649,2013-10-09T08:00:00Z,30,,40,,,,2013-10-09T19:00:00Z,,2013-10-05T12:45:00Z
Yolo,11/4/2013,38.67479,-122.08725,2013-11-04T15:35:00Z,57,,163,,,,2013-11-04T15:35:00Z,,2013-11-04T11:41:00Z
Shasta,11/7/2013,40.483662,-122.140914,2013-11-07T19:45:00Z,45,,33,,,,2013-11-07T19:45:00Z,,2013-11-07T16:10:00Z
San Luis Obispo,11/9/2013,35.457978,-120.751555,2013-11-09T17:00:00Z,40,,51,,,,2013-11-09T17:00:00Z,,2013-11-08T10:30:00Z
Lake,11/10/2013,38.882214,-122.567525,2013-11-10T18:30:00Z,17,,120,,,,2013-11-10T18:30:00Z,,2013-11-08T13:42:00Z
Ventura,11/15/2013,34.384,-119.13249,2013-11-15T16:00:00Z,56,,64,,,,2013-11-15T16:00:00Z,,2013-11-14T11:05:00Z
Mendocino,11/22/2013,39.0442,-123.1478,2013-11-22T17:30:00Z,23,,82,,,,2013-11-22T17:30:00Z,,2013-11-22T10:06:00Z
Napa,11/23/2013,38.382,-122.311,2013-11-23T18:30:00Z,28,,190,,,,2013-11-23T18:30:00Z,,2013-11-21T21:39:00Z
Lake,11/24/2013,39.0448,-122.7656,2013-11-24T08:45:00Z,17,,50,,,,2013-11-24T08:45:00Z,,2013-11-23T12:04:00Z
Lake,11/24/2013,38.9289,-122.5818,2013-11-24T18:45:00Z,17,,23,,,,2013-11-24T18:45:00Z,,2013-11-23T14:17:00Z
Sonoma,11/27/2013,38.8167,-122.8498,2013-11-27T18:15:00Z,49,,3505,,,,2013-11-27T18:15:00Z,,2013-11-22T02:04:00Z
Ventura,12/11/2013,0,0,2013-12-11T17:30:00Z,56,,44,,,,2013-12-11T17:30:00Z,,2013-12-10T02:26:00Z
Monterey,12/20/2013,0,0,2013-12-20T20:00:00Z,27,,917,,,,2013-12-20T20:00:00Z,,2013-12-16T00:20:00Z
Mendocino,12/30/2013,0,0,2013-12-30T20:30:00Z,23,,15,,,,2013-12-30T20:30:00Z,,2013-12-30T11:00:00Z
Santa Clara,12/31/2013,37.342186,-121.717706,2013-12-31T16:00:00Z,43,,40,,,,2013-12-31T16:00:00Z,,2013-12-31T05:30:00Z
Butte,1/2/2014,0,0,2014-01-02T07:30:00Z,4,,60,,,,2014-01-02T07:30:00Z,,2014-01-01T10:46:00Z
Humboldt,1/4/2014,0,0,2014-01-04T18:30:00Z,12,,18,,,,2014-01-04T18:30:00Z,,2014-01-03T10:30:00Z
Humboldt,1/8/2014,40.884415,-123.773779,2014-01-08T19:15:00Z,12,,333,,,,2014-01-08T19:15:00Z,,2014-01-04T12:00:00Z
Tehama,1/10/2014,40.134597,-121.790183,2014-01-10T18:30:00Z,52,,865,,,,2014-01-10T18:30:00Z,,2014-01-02T20:00:00Z
Placer,1/22/2014,0,0,2014-01-22T16:35:00Z,31,,120,,,,2014-01-22T16:35:00Z,,2014-01-22T13:10:00Z
Fresno,1/26/2014,36.8266,-119.3415,2014-01-26T18:00:00Z,10,,106,,,,2014-01-26T18:00:00Z,,2014-01-25T06:37:00Z
Los Angeles,1/27/2014,34.1703,-117.8816,2014-01-27T10:00:00Z,19,,1952,,,,2014-01-27T10:00:00Z,,2014-01-16T05:50:00Z
San Diego,3/11/2014,32.81,-116.49,2014-03-11T11:00:00Z,37,,125,,,,2014-03-11T11:00:00Z,,2014-03-08T12:30:00Z
Riverside,3/16/2014,0,0,2014-03-16T08:30:00Z,33,,350,,,,2014-03-16T08:30:00Z,,2014-03-15T16:37:00Z
Monterey,3/21/2014,36.6313,-121.4819,2014-03-21T18:00:00Z,27,,400,,,,2014-03-21T18:00:00Z,,2014-03-19T16:45:00Z
Riverside,3/29/2014,33.5982,-116.1985,2014-03-29T17:15:00Z,33,,57,,,,2014-03-29T17:15:00Z,,2014-03-28T14:31:00Z
Inyo,4/21/2014,37.399,-118.352,2014-04-21T19:15:00Z,14,,113,,,,2014-04-21T19:15:00Z,,2014-04-19T15:54:00Z
Monterey,5/1/2014,36.103,-121.117,2014-05-01T19:00:00Z,27,,75,,,,2014-05-01T19:00:00Z,,2014-04-30T14:25:00Z
San Bernardino,5/5/2014,34.169346,-117.547374,2014-05-05T17:30:00Z,36,,2143,,,,2014-05-05T17:30:00Z,,2014-04-30T08:00:00Z
