Extinguished (Date),Counties (Location),CountyIds (might not need this one),Latitude,Longitude,Wildfire_Probability,AcresBurned,Avg_Temperature,Avg_Humidity,Rainfall_30,Rainfall_60,Rainfall_90
2014-12-12T13:45:00Z,Mariposa,22,0,0,,4772,,,,,
2014-08-10T08:15:00Z,Mariposa,22,0,0,,4689,,,,,
2014-07-09T18:00:00Z,Napa,"28,17",38.664,-122.454,,4300,,,,,
2014-07-09T18:00:00Z,Lake,"28,17",38.664,-122.454,,4300,,,,,
2014-08-02T19:15:00Z,Amador,"3,9",38.5691,-120.7819,,4240,,,,,
2014-08-02T19:15:00Z,El Dorado,"3,9",38.5691,-120.7819,,4240,,,,,
2014-08-27T18:00:00Z,Kern,15,35.7206,-118.4747,,4045,,,,,
2014-06-20T08:30:00Z,Kern,15,35.70683,-118.555527,,3895,,,,,
2014-05-05T17:30:00Z,San Bernardino,36,34.169346,-117.547374,,2143,,,,,
2014-05-22T18:15:00Z,San Diego,37,33.1137,-117.1599,,1995,,,,,
2014-01-27T10:00:00Z,Los Angeles,19,34.1703,-117.8816,,1952,,,,,
2014-07-21T14:45:00Z,Kern,15,35.642,-118.15,,1680,,,,,
2014-07-03T10:30:00Z,Modoc,25,41.89,-120.79,,1651,,,,,
2014-05-17T20:14:00Z,San Diego,37,33.003,-117.133,,1548,,,,,
2014-07-07T07:00:00Z,Modoc,25,41.489,-120.904,,1469,,,,,
2014-05-20T23:30:00Z,San Diego,37,33.417572,-117.550567,,1457,,,,,
2014-09-16T09:30:00Z,Shasta,45,40.7101,-122.171,,1375,,,,,
2014-08-20T19:00:00Z,Mariposa,22,0,0,,1080,,,,,
2014-09-22T15:00:00Z,Orange,30,33.748,-117.601,,968,,,,,
2014-01-10T18:30:00Z,Tehama,52,40.134597,-121.790183,,865,,,,,
2014-06-02T18:30:00Z,Mariposa,22,0,0,,677,,,,,
2014-05-19T09:20:00Z,Santa Barbara,42,34.609,-120.454,,632,,,,,
2014-08-25T08:25:00Z,Madera,20,37.3433,-119.6581,,612,,,,,
2014-05-17T00:00:00Z,San Diego,37,33.1109,-117.279,,600,,,,,
2014-08-28T19:00:00Z,Trinity,53,40.7412,-122.946,,580,,,,,
