Counties (Location),FormattedDate,Latitude,Longitude,Extinguished (Date),Wildfire_Probability,AcresBurned,County,Latitude (WeatherStation),Longitude (WeatherStation),Stn Id,Precip (in),precip30 (in),precip60 (in),precip90 (in),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%)
El Dorado,1/4/2019,38.539806,-121.059979,2019-01-04T09:56:00Z,,316,El Dorado,38.636111,-120.79305,228,0,1.49,7.47,7.47,55.9,39.4,46.2,62,39,53
Sacramento,1/4/2019,38.595865,-121.17693,2019-01-04T09:58:00Z,,30,Sacramento,38.649964,-121.21887,131,0,2.71,6.78,6.8,59.6,33,43.4,96,43,74
Yolo,1/4/2019,38.59694444,-121.9938889,2019-01-04T09:40:00Z,,822,Yolo,38.672722,-121.81172,226,0,1.53,4.79,5.52,57.8,31,41.9,93,47,76
El Dorado,1/4/2019,38.645,-120.874167,2019-01-04T09:28:00Z,,67,El Dorado,38.636111,-120.79305,228,0,1.49,7.47,7.47,55.9,39.4,46.2,62,39,53
Yolo,1/4/2019,38.64953,-122.01762,2019-01-04T10:20:00Z,,14,Yolo,38.672722,-121.81172,226,0,1.53,4.79,5.52,57.8,31,41.9,93,47,76
Napa,1/4/2019,38.69601,-122.44468,2019-01-04T09:06:00Z,,2490,Napa,38.428475,-122.41021,77,0,2.49,8.35,8.36,58.4,31.6,42.2,91,40,70
El Dorado,1/4/2019,38.7448,-120.65672,2019-01-04T09:03:00Z,,12,El Dorado,38.753136,-120.7336,13,0,2.17,8.08,8.08,57.5,38.8,46.3,62,34,49
Yolo,1/4/2019,38.80583,-122.18183,2019-01-04T09:57:00Z,,90288,Yolo,38.672722,-121.81172,226,0,1.53,4.79,5.52,57.8,31,41.9,93,47,76
Napa,1/4/2019,38.80583,-122.18183,2019-01-04T09:57:00Z,,90288,Napa,38.428475,-122.41021,77,0,2.49,8.35,8.36,58.4,31.6,42.2,91,40,70
El Dorado,1/4/2019,38.82128,-121.03918,2019-01-04T09:27:00Z,,66,El Dorado,38.753136,-120.7336,13,0,2.17,8.08,8.08,57.5,38.8,46.3,62,34,49
Placer,1/4/2019,38.82426,-121.451307,2019-01-04T09:28:00Z,,700,Placer,38.887603,-121.10291,195,0,2.59,8.42,8.52,57.2,32,47.4,80,44,63
Mendocino,1/4/2019,38.8802,-123.0496,2019-01-04T09:26:00Z,,106,Mendocino,38.982581,-123.08928,106,,0,0,0,59.2,29.6,42.7,94,35,
El Dorado,1/4/2019,38.94388,-120.92611,2019-01-04T09:09:00Z,,150,El Dorado,38.753136,-120.7336,13,0,2.17,8.08,8.08,57.5,38.8,46.3,62,34,49
Mendocino,1/4/2019,39.038859,-123.38493,2019-01-04T09:55:00Z,,90,Mendocino,38.982581,-123.08928,106,,0,0,0,59.2,29.6,42.7,94,35,
Mendocino,1/4/2019,39.04786,-123.11971,2019-01-04T09:18:00Z,,48920,Mendocino,38.982581,-123.08928,106,,0,0,0,59.2,29.6,42.7,94,35,
Colusa,1/4/2019,39.04786,-123.11971,2019-01-04T09:18:00Z,,48920,Colusa,39.210667,-122.168889,250,0,0.74,2.69,2.69,57.8,29.2,40,100,42,79
Sutter,1/4/2019,39.186144,-121.792885,2019-01-04T09:28:00Z,,1200,Sutter,38.797944,-121.61136,235,0,1.99,4.83,4.83,57.3,28.7,39.1,96,47,82
Mendocino,1/4/2019,39.243283,-123.103367,2019-01-04T09:33:00Z,,410203,Mendocino,38.982581,-123.08928,106,,0,0,0,59.2,29.6,42.7,94,35,
Colusa,1/4/2019,39.243283,-123.103367,2019-01-04T09:33:00Z,,410203,Colusa,39.210667,-122.168889,250,0,0.74,2.69,2.69,57.8,29.2,40,100,42,79
Placer,1/4/2019,39.268611,-120.658333,2019-01-04T09:10:00Z,,1120,Placer,38.887603,-121.10291,195,0,2.59,8.42,8.52,57.2,32,47.4,80,44,63
Mendocino,1/4/2019,39.279833,-123.258319,2019-01-04T09:37:00Z,,67,Mendocino,38.982581,-123.08928,106,,0,0,0,59.2,29.6,42.7,94,35,
Colusa,1/4/2019,39.2976,-122.512012,2019-01-04T09:56:00Z,,75,Colusa,39.210667,-122.168889,250,0,0.74,2.69,2.69,57.8,29.2,40,100,42,79
Butte,1/4/2019,39.36529,-121.51707,2019-01-04T08:50:00Z,,550,Butte,39.386632,-121.835278,244,0,1.63,4.57,4.57,56,30.5,40.2,100,56,88
Butte,1/4/2019,39.491737,-121.637759,2019-01-04T09:56:00Z,,191,Butte,39.386632,-121.835278,244,0,1.63,4.57,4.57,56,30.5,40.2,100,56,88
Butte,1/4/2019,39.549167,-121.521111,2019-01-04T10:05:00Z,,40,Butte,39.608639,-121.82443,12,0,2.87,9.23,9.23,55.6,29.2,39,100,49,81
Butte,1/4/2019,39.57202,-121.43131,2019-01-04T09:40:00Z,,43,Butte,39.608639,-121.82443,12,0,2.87,9.23,9.23,55.6,29.2,39,100,49,81
Butte,1/4/2019,39.59872,-121.78208,2019-01-04T09:59:00Z,,347,Butte,39.608639,-121.82443,12,0,2.87,9.23,9.23,55.6,29.2,39,100,49,81
Butte,1/4/2019,39.602703,-121.617698,2019-01-04T10:07:00Z,,20,Butte,39.608639,-121.82443,12,0,2.87,9.23,9.23,55.6,29.2,39,100,49,81
Butte,1/4/2019,39.6139,-121.954098,2019-01-04T09:58:00Z,,10,Butte,39.608639,-121.82443,12,0,2.87,9.23,9.23,55.6,29.2,39,100,49,81
Mendocino,1/4/2019,39.62194,-123.28774,2019-01-04T08:49:00Z,,35,Mendocino,38.982581,-123.08928,106,,0,0,0,59.2,29.6,42.7,94,35,
Butte,1/4/2019,39.66492,-121.51772,2019-01-04T09:51:00Z,,11,Butte,39.608639,-121.82443,12,0,2.87,9.23,9.23,55.6,29.2,39,100,49,81
Butte,1/4/2019,39.71217,-121.77385,2019-01-04T08:42:00Z,,0,Butte,39.608639,-121.82443,12,0,2.87,9.23,9.23,55.6,29.2,39,100,49,81
Butte,1/4/2019,39.77124,-121.76859,2019-01-04T09:48:00Z,,962,Butte,39.608639,-121.82443,12,0,2.87,9.23,9.23,55.6,29.2,39,100,49,81
Tehama,1/4/2019,39.80827,-122.3307,2019-01-04T10:18:00Z,,10,Tehama,40.040006,-122.154539,222,0,2.68,6.15,6.15,56.5,31.1,40.5,100,45,78
Mendocino,1/4/2019,39.82877,-123.08489,2019-01-04T09:29:00Z,,972,Mendocino,38.982581,-123.08928,106,,0,0,0,59.2,29.6,42.7,94,35,
Butte,1/4/2019,39.84151,-121.62168,2019-01-04T09:01:00Z,,33,Butte,39.608639,-121.82443,12,0,2.87,9.23,9.23,55.6,29.2,39,100,49,81
Butte,1/4/2019,39.93427,-121.54103,2019-01-04T08:52:00Z,,10,Butte,39.608639,-121.82443,12,0,2.87,9.23,9.23,55.6,29.2,39,100,49,81
Tehama,1/4/2019,39.94355,-122.3571,2019-01-04T10:10:00Z,,2956,Tehama,40.040006,-122.154539,222,0,2.68,6.15,6.15,56.5,31.1,40.5,100,45,78
Lassen,1/4/2019,39.99309,-120.02137,2019-01-04T09:45:00Z,,14,Lassen,40.289799,-120.433948,57,0,1.05,2.3,2.3,38.2,14.7,24.7,86,54,77
Tehama,1/4/2019,40.00293,-122.44008,2019-01-04T09:46:00Z,,33,Tehama,40.040006,-122.154539,222,0,2.68,6.15,6.15,56.5,31.1,40.5,100,45,78
Tehama,1/4/2019,40.12791,-122.19792,2019-01-04T10:02:00Z,,170,Tehama,40.040006,-122.154539,222,0,2.68,6.15,6.15,56.5,31.1,40.5,100,45,78
Tehama,1/4/2019,40.18395,-122.27574,2019-01-04T10:02:00Z,,268,Tehama,40.040006,-122.154539,222,0,2.68,6.15,6.15,56.5,31.1,40.5,100,45,78
Tehama,1/4/2019,40.201826,-122.29388,2019-01-04T10:19:00Z,,23,Tehama,40.040006,-122.154539,222,0,2.68,6.15,6.15,56.5,31.1,40.5,100,45,78
Tehama,1/4/2019,40.22027778,-122.18,2019-01-04T08:57:00Z,,3889,Tehama,40.040006,-122.154539,222,0,2.68,6.15,6.15,56.5,31.1,40.5,100,45,78
Tehama,1/4/2019,40.27754,-122.11375,2019-01-04T09:43:00Z,,50,Tehama,40.040006,-122.154539,222,0,2.68,6.15,6.15,56.5,31.1,40.5,100,45,78
Lassen,1/4/2019,40.316137,-120.45053,2019-01-04T09:59:00Z,,441,Lassen,40.289799,-120.433948,57,0,1.05,2.3,2.3,38.2,14.7,24.7,86,54,77
Tehama,1/4/2019,40.31759,-122.21032,2019-01-04T10:24:00Z,,103,Tehama,40.040006,-122.154539,222,0,2.68,6.15,6.15,56.5,31.1,40.5,100,45,78
Lassen,1/4/2019,40.33642,-120.93005,2019-01-04T09:03:00Z,,53,Lassen,40.289799,-120.433948,57,0,1.05,2.3,2.3,38.2,14.7,24.7,86,54,77
Tehama,1/4/2019,40.33682,-121.93908,2019-01-04T09:52:00Z,,856,Tehama,40.040006,-122.154539,222,0,2.68,6.15,6.15,56.5,31.1,40.5,100,45,78
Tehama,1/4/2019,40.34256,-121.43025,2019-01-04T08:59:00Z,,261,Tehama,40.040006,-122.154539,222,0,2.68,6.15,6.15,56.5,31.1,40.5,100,45,78
Tehama,1/4/2019,40.346652,-122.308479,2019-01-04T08:50:00Z,,60,Tehama,40.040006,-122.154539,222,0,2.68,6.15,6.15,56.5,31.1,40.5,100,45,78
Lassen,1/4/2019,40.34822,-120.82497,2019-01-04T09:35:00Z,,167,Lassen,40.289799,-120.433948,57,0,1.05,2.3,2.3,38.2,14.7,24.7,86,54,77
Tehama,1/4/2019,40.35068,-121.77867,2019-01-04T10:02:00Z,,3716,Tehama,40.040006,-122.154539,222,0,2.68,6.15,6.15,56.5,31.1,40.5,100,45,78
Shasta,1/4/2019,40.36888889,-122.8905556,2019-01-04T09:16:00Z,,155,Shasta,40.63,-122.31,224,0,4.57,9.35,9.35,59,28.5,39.7,98,33,69
Lassen,1/4/2019,40.3768,-120.36403,2019-01-04T10:06:00Z,,646,Lassen,40.289799,-120.433948,57,0,1.05,2.3,2.3,38.2,14.7,24.7,86,54,77
Tehama,1/4/2019,40.394073,-122.135924,2019-01-04T10:07:00Z,,70,Tehama,40.040006,-122.154539,222,0,2.68,6.15,6.15,56.5,31.1,40.5,100,45,78
Shasta,1/4/2019,40.49618,-122.51597,2019-01-04T08:54:00Z,,12,Shasta,40.63,-122.31,224,0,4.57,9.35,9.35,59,28.5,39.7,98,33,69
Shasta,1/4/2019,40.50318,-122.42308,2019-01-04T10:01:00Z,,1678,Shasta,40.63,-122.31,224,0,4.57,9.35,9.35,59,28.5,39.7,98,33,69
Shasta,1/4/2019,40.52909,-122.17457,2019-01-04T10:02:00Z,,328,Shasta,40.63,-122.31,224,0,4.57,9.35,9.35,59,28.5,39.7,98,33,69
Shasta,1/4/2019,40.5939,-122.17173,2019-01-04T08:58:00Z,,76,Shasta,40.63,-122.31,224,0,4.57,9.35,9.35,59,28.5,39.7,98,33,69
Shasta,1/4/2019,40.60866,-122.38366,2019-01-04T08:53:00Z,,38,Shasta,40.63,-122.31,224,0,4.57,9.35,9.35,59,28.5,39.7,98,33,69
Shasta,1/4/2019,40.62693,-122.23449,2019-01-04T09:53:00Z,,31,Shasta,40.63,-122.31,224,0,4.57,9.35,9.35,59,28.5,39.7,98,33,69
Lassen,1/4/2019,40.633536,-120.868091,2019-01-04T09:32:00Z,,18703,Lassen,40.289799,-120.433948,57,0,1.05,2.3,2.3,38.2,14.7,24.7,86,54,77
Shasta,1/4/2019,40.65428,-122.62357,2019-01-04T09:37:00Z,,229651,Shasta,40.63,-122.31,224,0,4.57,9.35,9.35,59,28.5,39.7,98,33,69
Shasta,1/4/2019,40.678889,-122.400556,2019-01-04T09:08:00Z,,13,Shasta,40.63,-122.31,224,0,4.57,9.35,9.35,59,28.5,39.7,98,33,69
Shasta,1/4/2019,40.741186,-122.649626,2019-01-04T09:38:00Z,,63,Shasta,40.63,-122.31,224,0,4.57,9.35,9.35,59,28.5,39.7,98,33,69
Shasta,1/4/2019,40.824,-121.90215,2019-01-04T09:36:00Z,,51,Shasta,40.63,-122.31,224,0,4.57,9.35,9.35,59,28.5,39.7,98,33,69
Lassen,1/4/2019,40.83116,-120.19336,2019-01-04T08:47:00Z,,88,Lassen,40.289799,-120.433948,57,0,1.05,2.3,2.3,38.2,14.7,24.7,86,54,77
Shasta,1/4/2019,40.896,-122.219,2019-01-04T09:21:00Z,,46150,Shasta,40.63,-122.31,224,0,4.57,9.35,9.35,59,28.5,39.7,98,33,69
Shasta,1/4/2019,40.9425,-122.43,2019-01-04T09:07:00Z,,63311,Shasta,40.63,-122.31,224,0,4.57,9.35,9.35,59,28.5,39.7,98,33,69
Lassen,1/4/2019,40.94666,-121.27049,2019-01-04T09:42:00Z,,89,Lassen,40.289799,-120.433948,57,0,1.05,2.3,2.3,38.2,14.7,24.7,86,54,77
Lassen,1/4/2019,40.95234,-121.21597,2019-01-04T09:44:00Z,,56,Lassen,40.289799,-120.433948,57,0,1.05,2.3,2.3,38.2,14.7,24.7,86,54,77
Shasta,1/4/2019,40.95673,-121.6002,2019-01-04T09:29:00Z,,35,Shasta,41.063767,-121.45602,43,0,2.91,4.71,4.71,50.2,22,31.1,99,41,79
Shasta,1/4/2019,40.99344,-121.52225,2019-01-04T09:21:00Z,,1900,Shasta,41.063767,-121.45602,43,0,2.91,4.71,4.71,50.2,22,31.1,99,41,79
Siskiyou,1/4/2019,41.085,-123.051,2019-01-04T09:56:00Z,,215,Siskiyou,41.577778,-122.838125,225,0,2.08,5.23,5.24,47.8,20.1,34.2,100,40,71
Lassen,1/4/2019,41.08583,-121.05722,2019-01-04T09:42:00Z,,32,Lassen,40.289799,-120.433948,57,0,1.05,2.3,2.3,38.2,14.7,24.7,86,54,77
Modoc,1/4/2019,41.29363,-120.11461,2019-01-04T09:46:00Z,,2100,Modoc,41.438214,-120.48031,90,0,1.13,2.26,2.35,52.5,24.5,35.1,87,32,62
Modoc,1/4/2019,41.38544,-121.04386,2019-01-04T09:20:00Z,,39387,Modoc,41.438214,-120.48031,90,0,1.13,2.26,2.35,52.5,24.5,35.1,87,32,62
Modoc,1/4/2019,41.50105,-120.61108,2019-01-04T09:46:00Z,,52,Modoc,41.438214,-120.48031,90,0,1.13,2.26,2.35,52.5,24.5,35.1,87,32,62
Modoc,1/4/2019,41.52123,-120.72362,2019-01-04T09:11:00Z,,15,Modoc,41.438214,-120.48031,90,0,1.13,2.26,2.35,52.5,24.5,35.1,87,32,62
Siskiyou,1/4/2019,41.58233,-122.33769,2019-01-04T10:17:00Z,,37,Siskiyou,41.802476,-121.996159,236,0,1.33,2.15,2.15,50.4,18.1,35.9,97,32,56
Siskiyou,1/4/2019,41.632373,-122.37985,2019-01-04T09:40:00Z,,10,Siskiyou,41.802476,-121.996159,236,0,1.33,2.15,2.15,50.4,18.1,35.9,97,32,56
Siskiyou,1/4/2019,41.64805,-122.98442,2019-01-04T10:13:00Z,,12,Siskiyou,41.577778,-122.838125,225,0,2.08,5.23,5.24,47.8,20.1,34.2,100,40,71
Siskiyou,1/4/2019,41.65935,-122.48556,2019-01-04T10:25:00Z,,127,Siskiyou,41.577778,-122.838125,225,0,2.08,5.23,5.24,47.8,20.1,34.2,100,40,71
Siskiyou,1/4/2019,41.70877,-122.47293,2019-01-04T09:44:00Z,,224,Siskiyou,41.577778,-122.838125,225,0,2.08,5.23,5.24,47.8,20.1,34.2,100,40,71
Siskiyou,1/4/2019,41.791859,-122.513883,2019-01-04T10:24:00Z,,27,Siskiyou,41.577778,-122.838125,225,0,2.08,5.23,5.24,47.8,20.1,34.2,100,40,71
Siskiyou,1/4/2019,41.83359,-122.99272,2019-01-04T09:59:00Z,,63,Siskiyou,41.577778,-122.838125,225,0,2.08,5.23,5.24,47.8,20.1,34.2,100,40,71
Siskiyou,1/4/2019,41.893332,-122.534655,2019-01-04T09:55:00Z,,38008,Siskiyou,41.577778,-122.838125,225,0,2.08,5.23,5.24,47.8,20.1,34.2,100,40,71
Siskiyou,1/4/2019,41.94046,-122.43933,2019-01-04T08:55:00Z,,15,Siskiyou,41.802476,-121.996159,236,0,1.33,2.15,2.15,50.4,18.1,35.9,97,32,56
Madera,1/4/2019,37.0979,-119.75307,2019-01-04T10:23:00Z,,56,Fresno,36.820833,-119.74231,80,0,0.81,3.07,3.07,65.8,28,44,100,37,29
Madera,1/4/2019,37.10181,-119.623981,2019-01-04T10:14:00Z,,300,Fresno,36.820833,-119.74231,80,0,0.81,3.07,3.07,65.8,28,44,100,37,29
Madera,1/4/2019,37.14663,-119.91223,2019-01-04T10:06:00Z,,60,Fresno,36.820833,-119.74231,80,0,0.81,3.07,3.07,65.8,28,44,100,37,29
Madera,1/4/2019,37.179167,-119.431667,2019-01-04T09:13:00Z,,88,Fresno,36.820833,-119.74231,80,0,0.81,3.07,3.07,65.8,28,44,100,37,29
Madera,1/4/2019,37.197039,-120.002619,2019-01-04T09:15:00Z,,289,Merced,37.314139,-120.3867,148,0,1.4,4.94,4.94,61.6,24.4,38.8,97,35,75
Madera,1/4/2019,37.19817,-119.80414,2019-01-04T09:52:00Z,,11,Fresno,36.820833,-119.74231,80,0,0.81,3.07,3.07,65.8,28,44,100,37,29
Madera,1/4/2019,37.22791,-119.50461,2019-01-04T09:50:00Z,,12,Fresno,36.820833,-119.74231,80,0,0.81,3.07,3.07,65.8,28,44,100,37,29
Mariposa,1/4/2019,37.28365,-119.97546,2019-01-04T09:39:00Z,,40,Merced,37.314139,-120.3867,148,0,1.4,4.94,4.94,61.6,24.4,38.8,97,35,75
Madera,1/4/2019,37.38789,-119.68912,2019-01-04T09:03:00Z,,360,Merced,37.314139,-120.3867,148,0,1.4,4.94,4.94,61.6,24.4,38.8,97,35,75
Mariposa,1/4/2019,37.47677,-119.84299,2019-01-04T10:05:00Z,,53,Merced,37.314139,-120.3867,148,0,1.4,4.94,4.94,61.6,24.4,38.8,97,35,75
Madera,1/4/2019,37.571,-119.118,2019-01-04T10:03:00Z,,4064,Inyo,37.358514,-118.40553,35,0,0.27,1.18,1.18,55.5,19.8,33.1,90,24,58
Mariposa,1/4/2019,37.6549,-119.88581,2019-01-04T09:48:00Z,,96901,Merced,37.314139,-120.3867,148,0,1.4,4.94,4.94,61.6,24.4,38.8,97,35,75
Mariposa,1/4/2019,37.69965,-120.0545,2019-01-04T09:24:00Z,,22,Merced,37.314139,-120.3867,148,0,1.4,4.94,4.94,61.6,24.4,38.8,97,35,75
Mariposa,1/4/2019,37.707234,-120.199162,2019-01-04T10:04:00Z,,115,Merced,37.314139,-120.3867,148,0,1.4,4.94,4.94,61.6,24.4,38.8,97,35,75
Tuolumne,1/4/2019,37.80785,-120.30187,2019-01-04T10:01:00Z,,163,Stanislaus,37.727194,-120.85086,194,0,1.58,4.65,4.65,58.3,27.7,41.3,99,46,78
Tuolumne,1/4/2019,37.83388,-120.61746,2019-01-04T09:06:00Z,,573,Stanislaus,37.727194,-120.85086,194,0,1.58,4.65,4.65,58.3,27.7,41.3,99,46,78
Calaveras,1/4/2019,37.95766,-120.68902,2019-01-04T10:01:00Z,,80,Stanislaus,37.727194,-120.85086,194,0,1.58,4.65,4.65,58.3,27.7,41.3,99,46,78
Calaveras,1/4/2019,38.061298,-120.872244,2019-01-04T09:23:00Z,,290,Stanislaus,37.727194,-120.85086,194,0,1.58,4.65,4.65,58.3,27.7,41.3,99,46,78
Calaveras,1/4/2019,38.08424,-120.46078,2019-01-04T09:24:00Z,,136,Stanislaus,37.727194,-120.85086,194,0,1.58,4.65,4.65,58.3,27.7,41.3,99,46,78
Mono,1/4/2019,38.347395,-119.45186,2019-01-04T09:09:00Z,,6974,Alpine,38.773409,-119.79193,246,0,1.99,6.33,6.68,46.8,20.4,32,78,36,59
Tuolumne,1/4/2019,38.349,-119.929,2019-01-04T09:26:00Z,,36450,Alpine,38.773409,-119.79193,246,0,1.99,6.33,6.68,46.8,20.4,32,78,36,59
Lake,1/4/2019,38.8275,-122.3625,2019-01-04T09:12:00Z,,60,Napa,38.428475,-122.41021,77,0,2.49,8.35,8.36,58.4,31.6,42.2,91,40,70
Lake,1/4/2019,38.886518,-122.476381,2019-01-04T10:05:00Z,,32,Colusa,39.210667,-122.168889,250,0,0.74,2.69,2.69,57.8,29.2,40,100,42,79
Lake,1/4/2019,38.91152,-122.86854,2019-01-04T09:38:00Z,,50,Mendocino,38.982581,-123.08928,106,,0,0,0,59.2,29.6,42.7,94,35,
Lake,1/4/2019,38.91842,-122.85276,2019-01-04T09:11:00Z,,24,Mendocino,38.982581,-123.08928,106,,0,0,0,59.2,29.6,42.7,94,35,
Lake,1/4/2019,38.981389,-122.97222,2019-01-04T09:11:00Z,,36,Mendocino,38.982581,-123.08928,106,,0,0,0,59.2,29.6,42.7,94,35,
Lake,1/4/2019,39.02017,-122.57496,2019-01-04T09:14:00Z,,103,Colusa,39.210667,-122.168889,250,0,0.74,2.69,2.69,57.8,29.2,40,100,42,79
Lake,1/4/2019,39.04786,-123.11971,2019-01-04T09:18:00Z,,48920,Mendocino,38.982581,-123.08928,106,,0,0,0,59.2,29.6,42.7,94,35,
Lake,1/4/2019,39.06715,-122.59789,2019-01-04T09:51:00Z,,80,Colusa,39.210667,-122.168889,250,0,0.74,2.69,2.69,57.8,29.2,40,100,42,79
Lake,1/4/2019,39.0674,-122.59848,2019-01-04T10:01:00Z,,15185,Colusa,39.210667,-122.168889,250,0,0.74,2.69,2.69,57.8,29.2,40,100,42,79
Nevada,1/4/2019,39.10494,-121.07039,2019-01-04T09:19:00Z,,16,Placer,38.887603,-121.10291,195,0,2.59,8.42,8.52,57.2,32,47.4,80,44,63
Glenn,1/4/2019,39.243283,-123.103367,2019-01-04T09:33:00Z,,410203,Mendocino,38.982581,-123.08928,106,,0,0,0,59.2,29.6,42.7,94,35,
Lake,1/4/2019,39.243283,-123.103367,2019-01-04T09:33:00Z,,410203,Mendocino,38.982581,-123.08928,106,,0,0,0,59.2,29.6,42.7,94,35,
Glenn,1/4/2019,39.46543,-122.65582,2019-01-04T10:19:00Z,,127,Colusa,39.210667,-122.168889,250,0,0.74,2.69,2.69,57.8,29.2,40,100,42,79
Glenn,1/4/2019,39.64978,-122.58218,2019-01-04T10:09:00Z,,2290,Tehama,40.040006,-122.154539,222,0,2.68,6.15,6.15,56.5,31.1,40.5,100,45,78
Glenn,1/4/2019,39.65578,-122.58666,2019-01-04T10:21:00Z,,75,Tehama,40.040006,-122.154539,222,0,2.68,6.15,6.15,56.5,31.1,40.5,100,45,78
Plumas,1/4/2019,39.89075,-120.18499,2019-01-04T10:27:00Z,,20,Lassen,40.289799,-120.433948,57,0,1.05,2.3,2.3,38.2,14.7,24.7,86,54,77
Plumas,1/4/2019,39.996944,-121.27,2019-01-04T09:22:00Z,,117,Butte,39.608639,-121.82443,12,0,2.87,9.23,9.23,55.6,29.2,39,100,49,81
Trinity,1/4/2019,40.60402,-122.9144,2019-01-04T09:59:00Z,,300,Shasta,40.63,-122.31,224,0,4.57,9.35,9.35,59,28.5,39.7,98,33,69
Trinity,1/4/2019,40.616251,-123.52019,2019-01-04T09:08:00Z,,1751,Shasta,40.63,-122.31,224,0,4.57,9.35,9.35,59,28.5,39.7,98,33,69
Trinity,1/4/2019,40.65428,-122.62357,2019-01-04T09:37:00Z,,229651,Shasta,40.63,-122.31,224,0,4.57,9.35,9.35,59,28.5,39.7,98,33,69
Humboldt,1/4/2019,40.888785,-124.001849,2019-01-04T08:46:00Z,,10,Siskiyou,41.577778,-122.838125,225,0,2.08,5.23,5.24,47.8,20.1,34.2,100,40,71
Trinity,1/4/2019,40.9425,-122.43,2019-01-04T09:07:00Z,,63311,Shasta,40.63,-122.31,224,0,4.57,9.35,9.35,59,28.5,39.7,98,33,69
Humboldt,1/4/2019,41.07944,-123.688056,2019-01-04T09:17:00Z,,3674,Siskiyou,41.577778,-122.838125,225,0,2.08,5.23,5.24,47.8,20.1,34.2,100,40,71
Humboldt,1/4/2019,41.34453,-123.85404,2019-01-04T09:43:00Z,,16,Siskiyou,41.577778,-122.838125,225,0,2.08,5.23,5.24,47.8,20.1,34.2,100,40,71
Humboldt,1/15/2019,40.61805556,-123.6755556,2019-01-15T10:38:00Z,,30,Shasta,40.63,-122.31,224,0.73,9.82,15.15,15.15,49.1,44.3,46.1,99,91,97
Ventura,3/14/2019,34.41521,-119.09124,2019-03-14T11:24:00Z,,281893,Ventura,34.324639,-119.10488,198,0,3.41,11.22,14.41,69,41,58.2,62,15,25
Santa Barbara,3/14/2019,34.41521,-119.09124,2019-03-14T11:24:00Z,,281893,Santa Barbara,34.437353,-119.73742,107,0,4.6,12.97,16.33,68.8,45.7,57.7,63,22,39
Kern,5/8/2019,35.03855,-119.19454,2019-05-08T08:48:00Z,,172,Kern,35.205583,-118.77841,125,0,0.05,0.51,2.93,83.2,58.1,71,70,35,51
Kern,5/8/2019,35.65189,-118.92545,2019-05-08T08:47:00Z,,115,Kern,35.532556,-119.28179,5,0,0.06,0.23,2.88,86.4,53.8,70.3,81,39,57
Butte,5/8/2019,39.83958,-121.957,2019-05-08T08:47:00Z,,10,Butte,39.608639,-121.82443,12,0,0.54,3.37,13.34,88,51,66.4,99,40,71
Butte,5/8/2019,39.85484,-121.905,2019-05-08T08:47:00Z,,50,Butte,39.608639,-121.82443,12,0,0.54,3.37,13.34,88,51,66.4,99,40,71
Kern,5/9/2019,35.72057,-119.62762,2019-05-09T09:37:00Z,,2500,Kern,35.505833,-119.69114,146,0,0.17,0.55,0.55,78.8,56.1,67,81,45,60
San Diego,5/19/2019,32.557566,-116.8663,2019-05-19T09:26:00Z,,22,San Diego,32.628208,-116.93928,147,0.28,0.62,0.88,2.59,65,52.9,57.9,94,64,80
Riverside,5/24/2019,33.650237,-116.172534,2019-05-24T14:23:00Z,,130,Riverside,33.595694,-116.15811,218,0,0.02,0.02,0.17,85.5,52.2,71.5,69,16,37
Riverside,5/24/2019,33.81678,-117.18194,2019-05-24T14:23:00Z,,26,Riverside,33.76,-117.2,240,0,0.93,0.96,2.51,81.8,46.9,64,100,35,67
Placer,5/24/2019,39.11536,-120.76088,2019-05-24T14:28:00Z,,65,Placer,38.887603,-121.10291,195,0,4.02,6.02,13.38,74,50.3,62.2,96,54,74
Tehama,5/24/2019,39.98097,-122.30737,2019-05-24T14:23:00Z,,63,Tehama,40.040006,-122.154539,222,0,2.59,4.17,9.93,76.6,50,65.8,100,55,73
Riverside,6/3/2019,33.69078,-114.57265,2019-06-03T08:48:00Z,,45,Riverside,33.662869,-114.55811,135,0,0,0.16,0.29,96.5,60.1,78.9,59,12,31
San Luis Obispo,6/3/2019,35.30759,-119.96498,2019-06-03T08:44:00Z,,835,San Luis Obispo,35.028281,-120.56003,202,0,1.63,2.41,3.8,62,53.3,56.6,98,81,91
Tulare,6/4/2019,36.23012,-118.85712,2019-06-04T16:03:00Z,,33,Tulare,36.376917,-119.037972,258,0,2.14,2.33,4.74,95.9,72.6,86.8,81,32,45
Fresno,6/5/2019,36.66909,-119.3046,2019-06-05T15:07:00Z,,121,Fresno,36.721083,-119.38903,142,0,3.28,3.64,4.45,100.2,67.4,85.7,78,14,36
San Luis Obispo,6/11/2019,35.343761,-119.913717,2019-06-11T14:49:00Z,,1127,San Luis Obispo,35.305442,-120.66178,52,0,1.69,1.91,3.69,89,58.6,72.3,88,37,60
San Luis Obispo,6/11/2019,35.57376,-120.11738,2019-06-11T17:18:00Z,,120,San Luis Obispo,35.472556,-120.64814,163,0,0.46,0.92,2.37,96.7,54.3,75.5,88,22,46
Tulare,6/11/2019,35.89593,-118.94106,2019-06-11T17:18:00Z,,47,Tulare,36.082056,-119.09342,169,0,1.9,2.01,2.05,103,60.5,81.8,81,17,41
