Counties (Location),FormattedDate,Wildfire_Probability,County (Actual Location),Stn Id,Norm Precip (in),Norm precip30 (in),Norm precip60 (in),Norm precip90 (in),Norm Avg Air Temp (F),Norm Avg Rel Hum (%),,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,11/23/2013,1,Mendocino,85,0,0.008234218,0.003133705,0.003392706,0.438095238,0.159574468,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,12/31/2013,1,Santa Clara,211,0,0.039341263,0.033077994,0.030534351,0.266666667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Tehama,1/2/2014,1,Tehama,8,0,0.017383349,0.039693593,0.032230704,0.306122449,0.531914894,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,1/4/2014,1,Shasta,224,0,0.031107045,0.063370474,0.054566016,0.382312925,0.170212766,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,1/16/2014,1,Los Angeles,159,0,0.030192132,0.040389972,0.035906135,0.541496599,0.127659574,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,1/25/2014,1,Fresno,142,0,0,0.01183844,0.024031665,0.434013605,0.20212766,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,3/8/2014,1,San Diego,147,0,0.161939616,0.07729805,0.062765055,0.536054422,0.340425532,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,3/19/2014,1,Monterey,214,0,0.046660567,0.05362117,0.043822448,0.458503401,0.457446809,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,3/28/2014,1,Riverside,218,0,0,0,0,0.557823129,0.372340426,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo,4/19/2014,1,Inyo,35,0,0.013723696,0.034818942,0.032796155,0.481632653,0.319148936,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,4/30/2014,1,Monterey,113,0,0.070448307,0.050487465,0.106870229,0.715646259,0.170212766,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
San Bernardino,4/30/2014,1,San Bernardino,192,0,0,0.02367688,0.087362171,0.405442177,0.138297872,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
San Diego,5/5/2014,1,San Diego,147,0,0.019213175,0.019846797,0.066157761,0.484353741,0.712765957,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
San Diego,5/13/2014,1,San Diego,173,0,0.003659652,0.008356546,0.052586938,0.71292517,0.14893617,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Santa Barbara,5/13/2014,1,Santa Barbara,231,0,0.007319305,0.033077994,0.027424371,0.560544218,0.29787234,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,5/14/2014,1,San Diego,173,0,0.003659652,0.008356546,0.052586938,0.711564626,0.180851064,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,5/14/2014,1,San Diego,153,0,0.024702653,0.022980501,0.068136839,0.740136054,-0.063829787,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,5/14/2014,1,San Diego,153,0,0.024702653,0.022980501,0.068136839,0.740136054,-0.063829787,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,5/14/2014,1,San Diego,153,0,0.024702653,0.022980501,0.068136839,0.740136054,-0.063829787,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,5/14/2014,1,San Diego,150,0,0.02378774,0.022980501,0.068419565,0.733333333,0.117021277,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,5/14/2014,1,Shasta,224,0,0.01189387,0.108635097,0.272264631,0.654421769,0.29787234,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,5/25/2014,1,Mendocino,85,0,0.002744739,0.013579387,0.025445293,0.601360544,0.35106383,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,6/4/2014,1,Stanislaus,194,0,0,0.008356546,0.063895957,0.647619048,0.414893617,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,6/5/2014,1,Stanislaus,194,0,0,0.008356546,0.058241448,0.696598639,0.329787234,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,6/9/2014,1,Fresno,80,0,0.017383349,0.030640669,0.04749788,0.832653061,0.29787234,,,,,,,,,,,,,,,,,,,,,,,,,,
Solano,6/10/2014,1,Solano,139,0,0,0.012534819,0.087927622,0.763265306,0.287234043,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,6/11/2014,1,Fresno,142,0,0,0.0295961,0.049194232,0.765986395,0.255319149,,,,,,,,,,,,,,,,,,,,,,,,,,
Tehama,6/12/2014,1,Tehama,8,0,0.043000915,0.01810585,0.054283291,0.601360544,0.563829787,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,6/13/2014,1,Kern,125,0.25,0.029277219,0.027855153,0.055979644,0.673469388,0.308510638,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,6/13/2014,1,Merced,148,0,0,0.010445682,0.037602488,0.623129252,0.340425532,,,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras,6/20/2014,1,Amador,227,0,0.002744739,0.068245125,0.142776364,0.648979592,0.234042553,,,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras,6/22/2014,1,Stanislaus,194,0,0,0.008356546,0.054566016,0.613605442,0.436170213,,,,,,,,,,,,,,,,,,,,,,,,,,
