Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),CountyIds (might not need this one),Wildfire_Probability,AcresBurned,,,,,,,,
Kern,8/24/2013,35.707,-118.588,2013-08-24T14:54:00Z,15,,794,,,,,,,,
El Dorado,8/18/2013,38.89555,-120.84716,2013-08-18T23:12:00Z,9,,38,,,,,,,,
Plumas,8/18/2013,40.00842,-120.764666,2013-08-18T18:30:00Z,32,,513,,,,,,,,
Tehama,8/23/2013,40.04263,-121.85397,2013-08-23T14:15:00Z,52,,11429,,,,,,,,
Placer,8/10/2013,39.12,-120.65,2013-08-10T16:30:00Z,31,,27440,,,,,,,,
San Bernardino,8/24/2013,33.642,-116.706,2013-08-24T15:09:00Z,36,,97,,,,,,,,
Siskiyou,7/31/2013,41.32,-123.176,2013-07-31T22:00:00Z,47,,14754,,,,,,,,
Nevada,8/31/2013,39.333401,-121.107022,2013-08-31T14:42:00Z,29,,52,,,,,,,,
Butte,8/31/2013,39.731878,-121.713938,2013-08-31T17:23:00Z,4,,80,,,,,,,,
Modoc,9/7/2013,41.569,-120.959,2013-09-07T17:30:00Z,25,,68,,,,,,,,
Tuolumne,8/17/2013,37.857,-120.086,2013-08-17T15:25:00Z,55,,257314,,,,,,,,
San Mateo,9/7/2013,37.667295,-122.427285,2013-09-07T13:55:00Z,41,,41,,,,,,,,
San Diego,9/11/2013,32.710918,-116.746023,2013-09-11T16:57:00Z,37,,263,,,,,,,,
San Bernardino,9/9/2013,34.003151,-117.106075,2013-09-09T13:09:00Z,36,,73,,,,,,,,
Contra Costa,9/8/2013,37.90757,-121.882582,2013-09-08T13:08:00Z,7,,3111,,,,,,,,
Shasta,9/9/2013,40.498332,-122.535496,2013-09-09T12:32:00Z,45,,8073,,,,,,,,
Tehama,9/15/2013,0,0,2013-09-15T19:45:00Z,52,,75,,,,,,,,
Lake,9/15/2013,38.9777,-122.683,2013-09-15T17:39:00Z,17,,30,,,,,,,,
Fresno,9/24/2013,37.279,-119.318,2013-09-24T03:20:00Z,10,,22992,,,,,,,,
Tulare,7/22/2013,36.208,-118.444,2013-07-22T22:15:00Z,54,,2060,,,,,,,,
Tulare,8/24/2013,36.258,-118.459,2013-08-24T14:31:00Z,54,,134,,,,,,,,
Modoc,9/8/2013,41.73325,-120.375,2013-09-08T11:53:00Z,25,,97,,,,,,,,
San Luis Obispo,9/5/2013,35.4393,-120.8358,2013-09-05T15:57:00Z,40,,94,,,,,,,,
Los Angeles,9/23/2013,34.149,-117.908,2013-09-23T18:00:00Z,19,,268,,,,,,,,
San Diego,9/26/2013,0,0,2013-09-26T17:29:00Z,37,,40,,,,,,,,
Mendocino,9/28/2013,38.9252,-122.966,2013-09-28T13:57:00Z,23,,98,,,,,,,,
San Bernardino,9/24/2013,34.2,-117.417,2013-09-24T15:51:00Z,36,,200,,,,,,,,
Napa,10/4/2013,38.628,-122.289,2013-10-04T07:35:00Z,28,,376,,,,,,,,
Alameda,10/3/2013,0,0,2013-10-03T20:33:00Z,1,,150,,,,,,,,
Butte,10/4/2013,39.439,-121.497,2013-10-04T12:25:00Z,4,,305,,,,,,,,
Sonoma,10/4/2013,38.34599,-122.6503,2013-10-04T17:37:00Z,49,,159,,,,,,,,
San Diego,10/6/2013,33.341,-117.3092,2013-10-06T10:52:00Z,37,,2236,,,,,,,,
Orange,10/5/2013,33.7655,-117.6649,2013-10-05T12:45:00Z,30,,40,,,,,,,,
Yolo,11/4/2013,38.67479,-122.08725,2013-11-04T11:41:00Z,57,,163,,,,,,,,
Shasta,11/7/2013,40.483662,-122.140914,2013-11-07T16:10:00Z,45,,33,,,,,,,,
San Luis Obispo,11/8/2013,35.457978,-120.751555,2013-11-08T10:30:00Z,40,,51,,,,,,,,
Lake,11/8/2013,38.882214,-122.567525,2013-11-08T13:42:00Z,17,,120,,,,,,,,
Ventura,11/14/2013,34.384,-119.13249,2013-11-14T11:05:00Z,56,,64,,,,,,,,
Mendocino,11/22/2013,39.0442,-123.1478,2013-11-22T10:06:00Z,23,,82,,,,,,,,
Napa,11/21/2013,38.382,-122.311,2013-11-21T21:39:00Z,28,,190,,,,,,,,
Lake,11/23/2013,39.0448,-122.7656,2013-11-23T12:04:00Z,17,,50,,,,,,,,
Lake,11/23/2013,38.9289,-122.5818,2013-11-23T14:17:00Z,17,,23,,,,,,,,
Sonoma,11/22/2013,38.8167,-122.8498,2013-11-22T02:04:00Z,49,,3505,,,,,,,,
Ventura,12/10/2013,0,0,2013-12-10T02:26:00Z,56,,44,,,,,,,,
Monterey,12/16/2013,0,0,2013-12-16T00:20:00Z,27,,917,,,,,,,,
Mendocino,12/30/2013,0,0,2013-12-30T11:00:00Z,23,,15,,,,,,,,
Santa Clara,12/31/2013,37.342186,-121.717706,2013-12-31T05:30:00Z,43,,40,,,,,,,,
Butte,1/1/2014,0,0,2014-01-01T10:46:00Z,4,,60,,,,,,,,
Humboldt,1/3/2014,0,0,2014-01-03T10:30:00Z,12,,18,,,,,,,,
Humboldt,1/4/2014,40.884415,-123.773779,2014-01-04T12:00:00Z,12,,333,,,,,,,,
Tehama,1/2/2014,40.134597,-121.790183,2014-01-02T20:00:00Z,52,,865,,,,,,,,
Placer,1/22/2014,0,0,2014-01-22T13:10:00Z,31,,120,,,,,,,,
Fresno,1/25/2014,36.8266,-119.3415,2014-01-25T06:37:00Z,10,,106,,,,,,,,
Los Angeles,1/16/2014,34.1703,-117.8816,2014-01-16T05:50:00Z,19,,1952,,,,,,,,
San Diego,3/8/2014,32.81,-116.49,2014-03-08T12:30:00Z,37,,125,,,,,,,,
Riverside,3/15/2014,0,0,2014-03-15T16:37:00Z,33,,350,,,,,,,,
Monterey,3/19/2014,36.6313,-121.4819,2014-03-19T16:45:00Z,27,,400,,,,,,,,
Riverside,3/28/2014,33.5982,-116.1985,2014-03-28T14:31:00Z,33,,57,,,,,,,,
Inyo,4/19/2014,37.399,-118.352,2014-04-19T15:54:00Z,14,,113,,,,,,,,
Monterey,4/30/2014,36.103,-121.117,2014-04-30T14:25:00Z,27,,75,,,,,,,,
San Bernardino,4/30/2014,34.169346,-117.547374,2014-04-30T08:00:00Z,36,,2143,,,,,,,,
San Diego,5/5/2014,32.665,-116.222,2014-05-05T16:36:00Z,37,,29,,,,,,,,
San Diego,5/14/2014,33.312,-117.162,2014-05-14T14:00:00Z,37,,380,,,,,,,,
Shasta,5/14/2014,40.39,-122.721,2014-05-14T13:00:00Z,45,,50,,,,,,,,
San Diego,5/14/2014,33.003,-117.133,2014-05-14T10:30:00Z,37,,1548,,,,,,,,
San Diego,5/13/2014,33.1109,-117.279,2014-05-13T11:00:00Z,37,,600,,,,,,,,
San Diego,5/14/2014,33.3529,-117.284889,2014-05-14T09:45:00Z,37,,5367,,,,,,,,
Santa Barbara,5/13/2014,34.609,-120.454,2014-05-13T14:00:00Z,42,,632,,,,,,,,
San Diego,5/14/2014,0,0,2014-05-14T12:12:00Z,37,,105,,,,,,,,
San Diego,5/14/2014,33.417572,-117.550567,2014-05-14T17:43:00Z,37,,1457,,,,,,,,
San Diego,5/16/2014,0,0,2014-05-16T11:24:00Z,37,,56,,,,,,,,
San Diego,5/15/2014,0,0,2014-05-15T14:45:00Z,37,,14416,,,,,,,,
San Diego,5/14/2014,33.1137,-117.1599,2014-05-14T16:00:00Z,37,,1995,,,,,,,,
Lake,5/25/2014,39.1647,-122.5983,2014-05-25T12:20:00Z,17,,175,,,,,,,,
Stanislaus,5/27/2014,0,0,2014-05-27T11:23:00Z,50,,37,,,,,,,,
Mariposa,5/26/2014,0,0,2014-05-26T15:33:00Z,22,,677,,,,,,,,
Riverside,6/4/2014,0,0,2014-06-04T15:18:00Z,33,,14,,,,,,,,
Tuolumne,6/4/2014,37.76617,-120.45087,2014-06-04T11:45:00Z,55,,487,,,,,,,,
Tuolumne,6/5/2014,37.787,-120.452,2014-06-05T13:04:00Z,55,,269,,,,,,,,
Riverside,6/6/2014,0,0,2014-06-06T17:32:00Z,33,,31,,,,,,,,
Mariposa,6/6/2014,0,0,2014-06-06T17:29:00Z,22,,90,,,,,,,,
Fresno,6/11/2014,36.742747,-119.241493,2014-06-11T07:30:00Z,10,,25,,,,,,,,
Fresno,6/9/2014,36.991825,-119.525506,2014-06-09T15:15:00Z,10,,40,,,,,,,,
Tehama,6/12/2014,40.009827,-122.345078,2014-06-12T14:29:00Z,52,,225,,,,,,,,
Mariposa,6/13/2014,37.7103,-120.197,2014-06-13T12:23:00Z,22,,130,,,,,,,,
Solano,6/10/2014,121.999,38.453,2014-06-10T15:11:00Z,48,,70,,,,,,,,
Kern,6/13/2014,35.70683,-118.555527,2014-06-13T17:00:00Z,15,,3895,,,,,,,,
Monterey,6/19/2014,0,0,2014-06-19T15:14:00Z,27,,4840,,,,,,,,
